TIPO,ID_PRUEBA,GRUPO,PRUEBA,ANALISIS,ID_REFERENCIA,POBLACION_ID,SEXO,VALOR_MIN,VALOR_MAX,UNIDAD,ID_TIPO_RESULTADO
simple,110,"Perfil Tiroideo","TSH Neonatal","TSH Neonatal",761,9,ambos,0.3,4.5,uUI/ml,3
simple,109,"Perfil Tiroideo",TSH,TSH,755,10,ambos,0.3,4.5,uUI/ml,3
simple,110,"Perfil Tiroideo","TSH Neonatal","TSH Neonatal",762,10,ambos,0.3,4.5,uUI/ml,3
simple,109,"Perfil Tiroideo",TSH,TSH,756,11,ambos,0.3,4.5,uUI/ml,3
simple,110,"Perfil Tiroideo","TSH Neonatal","TSH Neonatal",763,11,ambos,0.3,4.5,uUI/ml,3
simple,109,"Perfil Tiroideo",TSH,TSH,757,12,ambos,0.3,4.5,uUI/ml,3
simple,110,"Perfil Tiroideo","TSH Neonatal","TSH Neonatal",764,12,ambos,0.3,4.5,uUI/ml,3
simple,110,"Perfil Tiroideo","TSH Neonatal","TSH Neonatal",758,6,ambos,0.6,17,mUI/ml,3
simple,110,"Perfil Tiroideo","TSH Neonatal","TSH Neonatal",759,7,ambos,0.6,17,mUI/ml,3
simple,110,"Perfil Tiroideo","TSH Neonatal","TSH Neonatal",760,8,ambos,0.6,17,mUI/ml,3
simple,110,"Perfil Tiroideo","TSH Neonatal","TSH Neonatal",761,9,ambos,0.6,17,mUI/ml,3
simple,110,"Perfil Tiroideo","TSH Neonatal","TSH Neonatal",762,10,ambos,0.6,17,mUI/ml,3
simple,110,"Perfil Tiroideo","TSH Neonatal","TSH Neonatal",763,11,ambos,0.6,17,mUI/ml,3
simple,110,"Perfil Tiroideo","TSH Neonatal","TSH Neonatal",764,12,ambos,0.6,17,mUI/ml,3
simple,112,Elisas,CHAGAS,CHAGAS,772,15,ambos,0,1.1,,3
simple,112,Elisas,CHAGAS,CHAGAS,772,15,ambos,"NEGATIVO (< Dil. 1:8)                              Dentro                                                NEGATIVO (Dil. 1:8)                                  Dentro                                                 NEGATIVO (Dil. 1:16)                                Dentro                                             POSITIVO (Dil. 1:32)                                  Fuera                                                                 POSITIVO (Dil. 1:64)                                  Fuera                                                                   POSITIVO (Dil. 1:128)                                 Fuera                                                      POSITIVO (Dil. 1:256)                                Fuera                                                                   POSITIVO (Dil. 1:512)                                 Fuera",,,3
simple,112,Elisas,CHAGAS,CHAGAS,772,15,ambos,"NEGATIVO                                                          POSITIVO > 1/40",,,3
